"Title","Rank","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close","imdb_Rating","Genres","Runtime","imdb_Votes","MPAA_rating","Critics_score","Opening_percentage","Opening_per_theater","Theater_change","Runtime_duration","imdb_votes_groups","total_gross_groups"
"the spectacular now",143,"A24",6854611,770,197415,4,2013-08-02,2013-12-12,7.2,"Comedy | Drama | Romance",95,73655,"R",9.3,2.88,49353.8,766,132,3,1
"the wolf of wall street",28,"Par.",116900694,2557,18361578,2537,2013-12-25,2014-04-03,8.2,"Biography | Comedy | Crime | Drama",180,550986,"R",7.7,15.71,7237.5,20,99,5,4
"the wolverine",22,"Fox",132556852,3924,53113752,3924,2013-07-26,2013-12-05,6.7,"Action | Adventure | Sci-Fi | Thriller",126,264310,"PG-13",6.9,40.07,13535.6,0,132,5,4
"the world's end",98,"Focus",26004851,1553,8811790,1551,2013-08-23,2013-12-05,7,"Action | Comedy | Sci-Fi",109,145000,"R",8.9,33.89,5681.4,2,104,4,2
"this is the end",35,"Sony",101470202,3055,20719162,3055,2013-06-12,2013-10-06,6.7,"Comedy | Fantasy",107,261409,"R",8.3,20.42,6782,0,116,5,4
"thor: the dark world",12,"BV",206362140,3841,85737841,3841,2013-11-08,2014-04-17,7.1,"Action | Adventure | Fantasy",112,312243,"PG-13",6.6,41.55,22321.7,0,160,5,5
"trance",174,"FoxS",2328743,443,131145,4,2013-04-05,2013-06-06,7,"Crime | Drama | Mystery | Thriller",101,80443,"R",6.8,5.63,32786.2,439,62,3,1
"turbo",44,"Fox",83028128,3809,21312625,3806,2013-07-17,2013-12-12,6.5,"Animation | Adventure | Comedy | Family | Sport",96,51046,"PG",6.7,25.67,5599.7,3,148,3,3
"upstream color",242,"erbp",444098,43,28649,1,2013-04-05,2013-06-27,6.8,"Drama | Mystery | Sci-Fi",96,16384,"Unrated",8.4,6.45,28649,42,83,2,1
"warm bodies",53,"LG/S",66380662,3009,20353967,3009,2013-02-01,2013-05-09,7,"Comedy | Horror | Romance",98,159831,"PG-13",8,30.66,6764.4,0,97,5,3
"we're the millers",16,"WB",150394119,3445,26419396,3260,2013-08-07,2013-12-05,7.1,"Comedy",110,260938,"R",4.7,17.57,8104.1,185,120,5,4
"white house down",46,"Sony",73103784,3222,24852258,3222,2013-06-28,2013-09-15,6.4,"Action | Drama | Thriller",131,135809,"PG-13",5,34,7713.3,0,79,4,3
"world war z",13,"Par.",202359711,3607,66411834,3607,2013-06-21,2013-10-10,7,"Action | Adventure | Horror | Sci-Fi | Thriller",116,376417,"PG-13",6.8,32.82,18411.9,0,111,5,5
